cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
1,2,2,11,1,0.001186791996588,0,as,MI
0,1,6,23,1,0.00118433299940079,1,as,CR
1,1,2,35,1,0.00116562499897555,1,as,CR
0,1,6,35,1,0.00113720799708972,1,as,CR
0,2,4,11,1,0.00122545799968066,0,as,MI
1,2,1,23,1,0.00113208300172118,0,as,MI
0,1,1,11,1,0.00115720800386043,1,as,CR
0,2,1,23,1,0.00117812499956926,0,as,MI
0,1,3,11,1,0.00121295900316909,1,as,CR
0,1,6,23,1,0.00147145899973111,1,as,CR
1,2,2,23,2,0.00119691699364921,1,as,HI
1,1,5,23,1,0.00119604200153844,1,as,CR
1,1,2,23,1,0.00119004199950723,1,as,CR
1,1,4,35,2,0.00118908299918985,0,as,FA
1,1,4,23,1,0.00117087500257185,1,as,CR
1,1,5,35,2,0.00118525000289083,0,as,FA
1,1,1,35,1,0.00123379199794726,1,as,CR
0,2,6,35,2,0.00116879100096412,1,as,HI
0,2,3,23,2,0.00147124999784864,1,as,HI
1,2,5,35,2,0.00117075000162004,1,as,HI
0,1,3,23,1,0.00114016699808417,1,as,CR
0,1,5,23,2,0.0011937500021304,0,as,FA
1,1,5,11,1,0.00117645900172647,1,as,CR
0,1,4,35,1,0.00113199999759672,1,as,CR
1,1,4,11,1,0.00115645800542552,1,as,CR
0,1,4,23,1,0.00121575000230223,1,as,CR
1,2,1,23,2,0.00124062500253785,1,as,HI
1,2,3,35,2,0.00150904199836077,1,as,HI
1,1,6,23,1,0.00131241700000828,1,as,CR
1,1,6,35,2,0.00116654199518962,0,as,FA
1,2,6,35,2,0.0011744590010494,1,as,HI
0,2,5,23,2,0.00115487499715528,1,as,HI
0,2,1,35,2,0.00115795800229535,1,as,HI
1,2,2,35,2,0.0011920420001843,1,as,HI
1,1,3,35,1,0.00114237500383751,1,as,CR
0,1,3,23,2,0.00116762499965262,0,as,FA
1,1,1,11,1,0.00120066700037569,1,as,CR
1,2,5,11,1,0.00120287499885308,0,as,MI
0,1,4,35,1,0.00117350000073202,1,as,CR
1,2,5,11,1,0.00124770800175611,0,as,MI
1,2,4,11,1,0.00114949999988312,0,as,MI
0,1,6,35,1,0.00130579100368777,1,as,CR
0,2,3,11,1,0.00120008300291374,0,as,MI
0,2,3,11,1,0.00118254099652404,0,as,MI
1,2,4,35,2,0.00116670900024474,1,as,HI
