cue,numFlash,targetLoc,ISI,response,RT,accuracy,sub,SDT
1,2,2,35,2,0.00117820800005575,1,ss,HI
0,1,6,11,2,0.001196959000481,0,ss,FA
1,1,5,35,1,0.00140412499968079,1,ss,CR
1,2,5,35,2,0.00145249999968655,1,ss,HI
1,2,6,23,2,0.00116337500003283,1,ss,HI
1,1,1,11,1,0.00116154099941923,1,ss,CR
0,1,4,11,1,0.00139604099967983,1,ss,CR
0,2,1,35,1,0.00116683300075238,0,ss,MI
1,2,5,23,2,0.00121487500018702,1,ss,HI
0,1,6,11,2,0.00122262500008219,0,ss,FA
1,1,5,11,1,0.00120458400033385,1,ss,CR
1,2,4,11,1,0.00122591699982877,0,ss,MI
0,2,2,23,2,0.00123654199978773,1,ss,HI
1,2,6,23,1,0.00118083400047908,0,ss,MI
0,1,3,35,1,0.00120533300014358,1,ss,CR
1,1,4,23,1,0.00116608400003315,1,ss,CR
1,1,2,35,1,0.00116895800056227,1,ss,CR
1,1,6,23,1,0.00134620800054108,1,ss,CR
0,1,2,11,1,0.00117562499963242,1,ss,CR
0,2,1,11,1,0.00120595799944567,0,ss,MI
0,2,3,23,1,0.00121583300006023,0,ss,MI
0,2,5,23,2,0.0011915000004592,1,ss,HI
1,1,5,23,1,0.0012439580004866,1,ss,CR
0,1,4,23,1,0.00124074999985169,1,ss,CR
0,2,1,11,1,0.00118362499961222,0,ss,MI
0,1,2,11,1,0.00119708300007915,1,ss,CR
0,1,3,11,1,0.00121829199997592,1,ss,CR
0,1,2,35,1,0.00140066600033606,1,ss,CR
1,2,4,11,1,0.00119199999971897,0,ss,MI
0,1,3,11,1,0.0012220000007801,1,ss,CR
0,2,3,35,2,0.00119654199988872,1,ss,HI
0,2,3,23,1,0.0015250839996952,0,ss,MI
1,1,3,35,1,0.00115233300039108,1,ss,CR
1,1,5,23,1,0.00142016700010572,1,ss,CR
0,1,2,23,1,0.00121775000025082,1,ss,CR
0,1,2,11,1,0.00136004099931597,1,ss,CR
1,2,4,35,2,0.00119770899982541,1,ss,HI
1,1,4,35,1,0.00122462499984977,1,ss,CR
0,1,1,35,1,0.00121758299974317,1,ss,CR
1,1,4,35,1,0.00126199999976961,1,ss,CR
1,2,1,35,2,0.00117854099971737,1,ss,HI
1,1,2,23,1,0.00116283300030773,1,ss,CR
0,2,3,23,2,0.00118245899921021,1,ss,HI
1,1,2,35,1,0.0012096250002287,1,ss,CR
1,1,1,11,1,0.001233083000443,1,ss,CR
0,2,3,11,1,0.00135529199997109,0,ss,MI
0,2,4,11,2,0.00117179100016074,1,ss,HI
1,2,1,23,2,0.00122141599968018,1,ss,HI
1,1,6,35,1,0.00125120900065667,1,ss,CR
0,1,5,11,2,0.00124654200044461,0,ss,FA
1,2,1,23,2,0.00115904099948239,1,ss,HI
0,1,2,35,1,0.00134900000011839,1,ss,CR
1,2,2,11,1,0.00123824999991484,0,ss,MI
1,2,4,11,1,0.00116079100007482,0,ss,MI
1,1,5,35,1,0.0012620829993466,1,ss,CR
1,1,5,23,1,0.00141683299989381,1,ss,CR
0,2,3,11,1,0.00120758299999579,0,ss,MI
0,1,6,23,2,0.00120637500003795,0,ss,FA
1,1,5,35,1,0.00120633299957262,1,ss,CR
0,2,3,11,1,0.00124049999976705,0,ss,MI
0,2,5,11,1,0.00120525000056659,0,ss,MI
1,1,2,11,1,0.00138558400067268,1,ss,CR
0,2,6,35,2,0.00120066699946619,1,ss,HI
0,1,4,35,1,0.00120070800039684,1,ss,CR
1,1,1,23,1,0.00117133399999148,1,ss,CR
0,1,1,11,1,0.00130845800049428,1,ss,CR
1,1,3,35,1,0.00122275000012451,1,ss,CR
1,2,2,23,1,0.00143320799998037,0,ss,MI
1,2,3,35,2,0.00121483300063119,1,ss,HI
1,2,3,11,1,0.00116287499986356,0,ss,MI
0,2,1,35,2,0.0011863749996337,1,ss,HI
1,2,6,35,2,0.00119166700005735,1,ss,HI
0,1,4,11,1,0.00132433300041157,1,ss,CR
1,1,3,23,1,0.00120020800022758,1,ss,CR
1,2,3,23,2,0.00122533299963834,1,ss,HI
1,1,1,23,1,0.00120554200020706,1,ss,CR
1,1,1,11,1,0.00115020799967169,1,ss,CR
1,2,4,23,2,0.00119283399999404,1,ss,HI
1,1,3,11,1,0.00120370799959346,1,ss,CR
1,2,5,11,1,0.00118629099961254,0,ss,MI
0,2,6,35,2,0.00191479200020694,1,st,HI
1,1,2,23,2,0.00474912500067148,0,st,FA
0,2,5,35,2,0.00159033299951261,1,st,HI
1,2,4,11,2,0.00156520800010185,1,st,HI
0,1,3,11,2,0.00260320899997168,0,st,FA
1,1,1,11,2,0.00132454200047505,0,st,FA
1,1,6,23,1,0.00139395800033526,1,st,CR
1,2,1,23,2,0.001240874999894,1,st,HI
0,2,5,11,2,0.00120175000029121,1,st,HI
0,2,1,23,2,0.00134700000035082,1,st,HI
1,1,4,23,2,0.00144725000063772,0,st,FA
1,1,4,35,2,0.00119812499997352,0,st,FA
1,2,1,11,2,0.00122208300035709,1,st,HI
1,1,1,23,2,0.00120812500063039,0,st,FA
